Latitude,Longitude,DC
50.35,-74.68,83.7886
50.35,-74.68,96.21686
50.35,-74.68,89.44051
50.35,-74.68,88.07855
50.35,-74.68,92.58377
50.35,-74.68,82.8882
50.35,-74.68,83.37245
50.35,-74.68,83.31358
50.35,-74.68,83.0065
50.35,-74.68,75.2952
50.35,-74.68,92.61384
50.36,-74.69,90.55008
50.36,-74.69,98.09591
50.36,-74.69,85.78868
50.36,-74.69,87.29062
50.36,-74.69,86.51686
50.36,-74.69,87.80803
50.36,-74.69,90.95555
50.36,-74.69,80.27175
50.36,-74.69,96.6055
50.36,-74.69,75.88686
50.36,-74.69,80.29107
50.36,-74.69,83.58526
50.36,-74.69,91.03096
50.36,-74.69,81.9544
50.36,-74.69,86.61722
50.36,-74.69,93.40423
50.36,-74.69,93.09041
50.36,-74.69,88.47884
50.36,-74.69,89.4816
50.36,-74.69,83.71664
50.36,-74.69,96.23134
50.36,-74.69,89.83025
50.36,-74.69,87.99068
50.36,-74.69,92.51484
50.36,-74.69,82.88641
50.36,-74.69,83.26567
50.36,-74.69,83.24694
50.36,-74.69,83.27615
50.36,-74.69,75.274
50.36,-74.69,92.61159
50.36,-74.69,90.88297
50.36,-74.69,98.49742
50.36,-74.69,85.72477
50.36,-74.69,87.26603
50.36,-74.69,86.98122
50.36,-74.69,87.85289
50.36,-74.69,91.42165
50.36,-74.69,80.62029
50.36,-74.69,96.98944
50.36,-74.69,75.76603
50.36,-74.69,80.53079
50.36,-74.69,83.94416
50.36,-74.69,91.57694
50.36,-74.69,81.89779
50.36,-74.69,87.04858
50.36,-74.69,93.80467
50.36,-74.69,93.02941
50.36,-74.69,88.68584
50.36,-74.69,89.94131
50.36,-74.69,84.04071
50.36,-74.69,96.55839
50.36,-74.69,89.81677
50.36,-74.69,88.19707
50.36,-74.69,92.79187
50.36,-74.69,83.17443
50.36,-74.69,83.7924
50.36,-74.69,83.56646
50.36,-74.69,83.27222
50.36,-74.69,75.45801
50.36,-74.69,92.82784
50.36,-74.69,92.92232
50.36,-74.69,98.86237
50.36,-74.69,86.77803
50.36,-74.69,87.32488
50.36,-74.69,89.12488
50.36,-74.69,89.21077
50.36,-74.69,93.78275
50.36,-74.69,81.95318
50.36,-74.69,97.58125
50.36,-74.69,76.48547
50.36,-74.69,81.4671
50.36,-74.69,86.25442
50.36,-74.69,91.76101
50.36,-74.69,82.9523
50.36,-74.69,86.87423
50.36,-74.69,94.34226
50.36,-74.69,95.00894
50.36,-74.69,90.70515
50.36,-74.69,91.69906
50.36,-74.69,85.67187
50.36,-74.69,98.79031
50.36,-74.69,92.43321
50.36,-74.69,89.54086
50.36,-74.69,93.48078
50.36,-74.69,84.15392
50.36,-74.69,85.72437
50.36,-74.69,84.38531
50.36,-74.69,84.22385
50.36,-74.69,76.00129
50.36,-74.69,93.37265
50.35,-74.67,90.58791
50.35,-74.67,98.08192
50.35,-74.67,85.85421
50.35,-74.67,87.01946
50.35,-74.67,86.55684
50.35,-74.67,87.94749
50.35,-74.67,91.00081
50.35,-74.67,80.32199
50.35,-74.67,96.6506
50.35,-74.67,75.95861
50.35,-74.67,80.33096
50.35,-74.67,83.6298
50.35,-74.67,91.1416
50.35,-74.67,81.68427
50.35,-74.67,86.68793
50.35,-74.67,93.47123
50.35,-74.67,93.19023
50.35,-74.67,88.49902
50.35,-74.67,89.61905
50.35,-74.67,83.82847
50.35,-74.67,96.26552
50.35,-74.67,89.48217
50.35,-74.67,88.06116
50.35,-74.67,92.53614
50.35,-74.67,82.92591
50.35,-74.67,83.42506
50.35,-74.67,83.30148
50.35,-74.67,83.03091
50.35,-74.67,75.346
50.35,-74.67,92.65599
50.35,-74.67,90.55762
50.35,-74.67,98.01195
50.35,-74.67,85.82575
