Annee,DateRap,JA,Comb,iLat,iLon,INT,Domaine,Rgn_ecolo,Dates,Month,Numero
1994,04/05/1994 16:18,2,M1,48.6739006,-78.03440094,,5,5a,04/05/1994,04-May-94,25
1994,04/05/1994 16:00,1,D1,46.35499954,-74.78140259,6,3,3b,04/05/1994,04-May-94,26
1994,04/05/1994 16:00,2,D1,46.35499954,-74.78140259,38,3,3b,04/05/1994,04-May-94,26
1994,04/05/1994 16:45,1,AU,48.49330139,-78.05639648,,5,5a,04/05/1994,04-May-94,27
1994,04/05/1994 16:45,2,AU,48.49330139,-78.05639648,,5,5a,04/05/1994,04-May-94,27
1994,04/05/1994 17:05,1,M1,45.99860001,-74.02529907,81,3,3c,04/05/1994,04-May-94,28
1994,04/05/1994 17:05,2,M1,45.99860001,-74.02529907,308,3,3c,04/05/1994,04-May-94,28
1994,04/05/1994 17:05,3,M1,45.99860001,-74.02529907,400,3,3c,04/05/1994,04-May-94,28
1994,04/05/1994 17:05,4,M1,45.99860001,-74.02529907,173,3,3c,04/05/1994,04-May-94,28
1994,05/05/1994 8:10,1,AU,48.27970123,-77.31189728,,5,5a,05/05/1994,05-May-94,29
1994,30/04/1994 11:54,1,D1,46.26190186,-73.55999756,0,3,3c,30/04/1994,30-Apr-94,30
1994,04/05/1994 18:40,1,M1,46.04970169,-75.94059753,91,2,2a,04/05/1994,04-May-94,31
1994,04/05/1994 18:40,2,M1,46.04970169,-75.94059753,224,2,2a,04/05/1994,04-May-94,31
1994,04/05/1994 13:50,1,M1,46.7378006,-71.14689636,28,2,2b,04/05/1994,04-May-94,32
1994,05/05/1994 13:10,1,D1,45.80059814,-75.10469818,65,2,2a,05/05/1994,05-May-94,33
1994,05/05/1994 13:10,2,D1,45.80059814,-75.10469818,84,2,2a,05/05/1994,05-May-94,33
1994,05/05/1994 13:10,3,D1,45.80059814,-75.10469818,173,2,2a,05/05/1994,05-May-94,33
1994,05/05/1994 13:00,1,O1A,45.57389832,-75.64610291,516,2,2a,05/05/1994,05-May-94,34
1994,05/05/1994 13:00,2,O1A,45.57389832,-75.64610291,629,2,2a,05/05/1994,05-May-94,34
1994,05/05/1994 13:00,3,O1A,45.57389832,-75.64610291,139,2,2a,05/05/1994,05-May-94,34
1994,04/05/1994 14:38,1,D1,45.76639938,-74.15390015,29,3,3c,04/05/1994,04-May-94,35
1994,04/05/1994 14:38,2,D1,45.76639938,-74.15390015,78,3,3c,04/05/1994,04-May-94,35
1994,05/05/1994 10:10,0,AU,46.82310104,-72.36669922,,2,2b,05/05/1994,05-May-94,36
1994,05/05/1994 13:55,1,D1,46.40359879,-72.76809692,53,2,2b,05/05/1994,05-May-94,37
1994,05/05/1994 18:50,1,O1A,47.53689957,-78.76940155,,4,4a,05/05/1994,05-May-94,38
1994,05/05/1994 18:50,2,O1A,47.53689957,-78.76940155,1062,4,4a,05/05/1994,05-May-94,38
1994,05/05/1994 18:50,3,O1A,47.53689957,-78.76940155,1353,4,4a,05/05/1994,05-May-94,38
