Latitude,Longitude,TMax 
50.36,-74.69,-6.353
50.36,-74.69,-6.444
50.36,-74.69,-5.84
50.36,-74.69,-6.079
50.36,-74.69,-6.474
50.36,-74.69,-7.059
50.36,-74.69,-7.057
50.36,-74.69,-6.502
50.36,-74.69,-5.731
50.36,-74.69,-6.039
50.36,-74.69,-5.516
50.36,-74.69,-5.254
50.36,-74.69,-4.894
50.36,-74.69,-6.771
50.36,-74.69,-5.462
50.36,-74.69,-6.53
50.36,-74.69,-6.395
50.36,-74.69,-7.18
50.36,-74.69,-5.155
50.36,-74.69,-6.468
50.36,-74.69,-6.48
50.36,-74.69,-5.02
50.36,-74.69,-6.313
50.36,-74.69,-5.858
50.36,-74.69,-4.867
50.36,-74.69,-5.144
50.36,-74.69,-5.669
50.36,-74.69,-6.716
50.36,-74.69,-4.587
50.36,-74.69,-7.651
50.36,-74.69,-6.328
50.36,-74.69,-6.419
50.36,-74.69,-5.816
50.36,-74.69,-6.054
50.36,-74.69,-6.45
50.36,-74.69,-7.035
50.36,-74.69,-7.033
50.36,-74.69,-6.477
50.36,-74.69,-5.706
50.36,-74.69,-6.014
50.36,-74.69,-5.492
50.36,-74.69,-5.23
50.36,-74.69,-4.869
50.36,-74.69,-6.548
50.36,-74.69,-5.242
50.36,-74.69,-6.306
50.36,-74.69,-6.17
50.36,-74.69,-6.956
50.36,-74.69,-4.933
50.36,-74.69,-6.243
50.36,-74.69,-6.259
50.36,-74.69,-4.798
50.36,-74.69,-6.09
50.36,-74.69,-5.635
50.36,-74.69,-4.643
50.36,-74.69,-4.922
50.36,-74.69,-5.446
50.36,-74.69,-6.492
50.36,-74.69,-4.363
50.36,-74.69,-7.427
50.36,-74.69,-6.105
50.36,-74.69,-6.196
50.36,-74.69,-5.594
50.36,-74.69,-5.831
50.36,-74.69,-6.226
50.36,-74.69,-6.811
50.36,-74.69,-6.808
50.36,-74.69,-6.254
50.36,-74.69,-5.484
50.36,-74.69,-5.791
50.36,-74.69,-5.271
50.36,-74.69,-5.006
50.36,-74.69,-4.647
50.35,-74.67,-6.784
50.35,-74.67,-5.475
50.35,-74.67,-6.544
50.35,-74.67,-6.409
50.35,-74.67,-7.194
50.35,-74.67,-5.169
50.35,-74.67,-6.481
50.35,-74.67,-6.494
50.35,-74.67,-5.034
50.35,-74.67,-6.327
50.35,-74.67,-5.872
50.35,-74.67,-4.88
50.35,-74.67,-5.157
50.35,-74.67,-5.682
50.35,-74.67,-6.73
50.35,-74.67,-4.6
50.35,-74.67,-7.664
50.35,-74.67,-6.341
50.35,-74.67,-6.433
50.35,-74.67,-5.829
50.35,-74.67,-6.067
50.35,-74.67,-6.463
50.35,-74.67,-7.048
50.35,-74.67,-7.046
50.35,-74.67,-6.491
50.35,-74.67,-5.719
50.35,-74.67,-6.028
50.35,-74.67,-5.505
50.35,-74.67,-5.243
50.35,-74.67,-4.883
50.35,-74.67,-6.787
50.35,-74.67,-5.477
50.35,-74.67,-6.546
50.35,-74.67,-6.411
50.35,-74.67,-7.196
50.35,-74.67,-5.171
50.35,-74.67,-6.483
50.35,-74.67,-6.496
50.35,-74.67,-5.036
50.35,-74.67,-6.329
50.35,-74.67,-5.874
50.35,-74.67,-4.882
50.35,-74.67,-5.159
50.35,-74.67,-5.685
50.35,-74.67,-6.732
50.35,-74.67,-4.603
50.35,-74.67,-7.667
50.35,-74.67,-6.344
50.35,-74.67,-6.435
50.35,-74.67,-5.832
50.35,-74.67,-6.07
50.35,-74.67,-6.466
50.35,-74.67,-7.05
50.35,-74.67,-7.049
50.35,-74.67,-6.493
50.35,-74.67,-5.722
50.35,-74.67,-6.031
50.35,-74.67,-5.507
50.35,-74.67,-5.246
50.35,-74.67,-4.885
50.34,-74.67,-6.765
50.34,-74.67,-5.455
50.34,-74.67,-6.525
50.34,-74.67,-6.39
50.34,-74.67,-7.175
50.34,-74.67,-5.149
50.34,-74.67,-6.461
50.34,-74.67,-6.474
50.34,-74.67,-5.015
50.34,-74.67,-6.308
50.34,-74.67,-5.853
50.34,-74.67,-4.861
50.34,-74.67,-5.137
50.34,-74.67,-5.663
50.34,-74.67,-6.711
50.34,-74.67,-4.581
50.34,-74.67,-7.646
50.34,-74.67,-6.322
50.34,-74.67,-6.414
50.34,-74.67,-5.81
50.34,-74.67,-6.048
50.34,-74.67,-6.444
50.34,-74.67,-7.029
50.34,-74.67,-7.028
50.34,-74.67,-6.472
50.34,-74.67,-5.7
50.34,-74.67,-6.009
50.34,-74.67,-5.485
50.34,-74.67,-5.225
50.34,-74.67,-4.863
50.34,-74.67,-6.752
50.34,-74.67,-5.442
50.34,-74.67,-6.512
50.34,-74.67,-6.378
50.34,-74.67,-7.163
50.34,-74.67,-5.137
50.34,-74.67,-6.449
50.34,-74.67,-6.462
50.34,-74.67,-5.003
50.34,-74.67,-6.295
50.34,-74.67,-5.841
50.34,-74.67,-4.848
50.34,-74.67,-5.125
50.34,-74.67,-5.651
50.34,-74.67,-6.699
50.34,-74.67,-4.568
50.34,-74.67,-7.633
50.34,-74.67,-6.31
50.34,-74.67,-6.401
50.34,-74.67,-5.798
50.34,-74.67,-6.036
50.34,-74.67,-6.432
50.34,-74.67,-7.016
50.34,-74.67,-7.015
50.34,-74.67,-6.459
50.34,-74.67,-5.687
50.34,-74.67,-5.997
50.34,-74.67,-5.472
50.34,-74.67,-5.212
50.34,-74.67,-4.851
50.34,-74.67,-6.74
50.34,-74.67,-5.43
50.34,-74.67,-6.5
50.34,-74.67,-6.366
50.34,-74.67,-7.15
50.34,-74.67,-5.125
50.34,-74.67,-6.436
50.34,-74.67,-6.45
50.34,-74.67,-4.99
50.34,-74.67,-6.283
50.34,-74.67,-5.828
50.34,-74.67,-4.836
50.34,-74.67,-5.113
50.34,-74.67,-5.639
50.34,-74.67,-6.686
50.34,-74.67,-4.556
50.34,-74.67,-7.621
50.34,-74.67,-6.297
50.34,-74.67,-6.389
50.34,-74.67,-5.785
50.34,-74.67,-6.024
50.34,-74.67,-6.419
50.34,-74.67,-7.004
50.34,-74.67,-7.003
50.34,-74.67,-6.447
50.34,-74.67,-5.675
50.34,-74.67,-5.985
50.34,-74.67,-5.46
50.34,-74.67,-5.2
50.34,-74.67,-4.839
50.32,-74.59,-6.692
50.32,-74.59,-5.408
50.32,-74.59,-6.468
50.32,-74.59,-6.333
50.32,-74.59,-7.119
50.32,-74.59,-5.118
50.32,-74.59,-6.412
50.32,-74.59,-6.419
50.32,-74.59,-4.994
50.32,-74.59,-6.253
50.32,-74.59,-5.797
50.32,-74.59,-4.838
50.32,-74.59,-5.089
50.32,-74.59,-5.615
50.32,-74.59,-6.646
50.32,-74.59,-4.547
50.32,-74.59,-7.566
50.32,-74.59,-6.273
50.32,-74.59,-6.354
50.32,-74.59,-5.769
50.32,-74.59,-6.001
50.32,-74.59,-6.391
50.32,-74.59,-6.955
50.32,-74.59,-6.974
50.32,-74.59,-6.406
50.32,-74.59,-5.657
50.32,-74.59,-5.969
50.32,-74.59,-5.444
50.32,-74.59,-5.177
50.32,-74.59,-4.841
50.32,-74.6,-6.755
50.32,-74.6,-5.471
50.32,-74.6,-6.532
50.32,-74.6,-6.397
50.32,-74.6,-7.183
50.32,-74.6,-5.182
50.32,-74.6,-6.477
50.32,-74.6,-6.482
50.32,-74.6,-5.058
50.32,-74.6,-6.317
50.32,-74.6,-5.861
50.32,-74.6,-4.902
50.32,-74.6,-5.153
50.32,-74.6,-5.679
50.32,-74.6,-6.71
50.32,-74.6,-4.611
50.32,-74.6,-7.63
50.32,-74.6,-6.337
50.32,-74.6,-6.418
50.32,-74.6,-5.832
50.32,-74.6,-6.065
50.32,-74.6,-6.455
50.32,-74.6,-7.019
50.32,-74.6,-7.039
50.32,-74.6,-6.47
50.32,-74.6,-5.721
50.32,-74.6,-6.033
50.32,-74.6,-5.507
50.32,-74.6,-5.241
50.32,-74.6,-4.905
50.31,-74.6,-6.76
50.31,-74.6,-5.475
50.31,-74.6,-6.538
50.31,-74.6,-6.403
50.31,-74.6,-7.189
50.31,-74.6,-5.187
50.31,-74.6,-6.481
50.31,-74.6,-6.487
50.31,-74.6,-5.063
50.31,-74.6,-6.322
50.31,-74.6,-5.867
50.31,-74.6,-4.907
50.31,-74.6,-5.157
50.31,-74.6,-5.684
50.31,-74.6,-6.716
50.31,-74.6,-4.616
50.31,-74.6,-7.636
50.31,-74.6,-6.342
50.31,-74.6,-6.423
50.31,-74.6,-5.838
50.31,-74.6,-6.07
50.31,-74.6,-6.46
50.31,-74.6,-7.024
50.31,-74.6,-7.044
50.31,-74.6,-6.475
50.31,-74.6,-5.725
50.31,-74.6,-6.039
50.31,-74.6,-5.512
50.31,-74.6,-5.246
50.31,-74.6,-4.91
50.31,-74.61,-6.714
50.31,-74.61,-5.428
50.31,-74.61,-6.491
50.31,-74.61,-6.357
50.31,-74.61,-7.142
50.31,-74.61,-5.14
50.31,-74.61,-6.434
50.31,-74.61,-6.441
50.31,-74.61,-5.016
50.31,-74.61,-6.276
50.31,-74.61,-5.82
50.31,-74.61,-4.86
50.31,-74.61,-5.111
50.31,-74.61,-5.637
50.31,-74.61,-6.669
50.31,-74.61,-4.569
50.31,-74.61,-7.589
50.31,-74.61,-6.296
50.31,-74.61,-6.377
50.31,-74.61,-5.791
50.31,-74.61,-6.024
50.31,-74.61,-6.414
50.31,-74.61,-6.977
50.31,-74.61,-6.998
50.31,-74.61,-6.429
50.31,-74.61,-5.679
50.31,-74.61,-5.992
50.31,-74.61,-5.465
50.31,-74.61,-5.2
50.31,-74.61,-4.863
50.36,-74.46,-6.587
50.36,-74.46,-5.32
50.36,-74.46,-6.36
50.36,-74.46,-6.23
50.36,-74.46,-7.008
50.36,-74.46,-5.016
50.36,-74.46,-6.31
50.36,-74.46,-6.317
50.36,-74.46,-4.891
50.36,-74.46,-6.144
50.36,-74.46,-5.693
50.36,-74.46,-4.734
50.36,-74.46,-4.99
50.36,-74.46,-5.51
50.36,-74.46,-6.536
50.36,-74.46,-4.45
50.36,-74.46,-7.452
50.36,-74.46,-6.166
50.36,-74.46,-6.252
50.36,-74.46,-5.667
50.36,-74.46,-5.893
50.36,-74.46,-6.286
50.36,-74.46,-6.843
50.36,-74.46,-6.866
50.36,-74.46,-6.296
50.36,-74.46,-5.555
50.36,-74.46,-5.863
50.36,-74.46,-5.345
50.36,-74.46,-5.07
50.36,-74.46,-4.741
50.36,-74.46,-6.6
50.36,-74.46,-5.333
50.36,-74.46,-6.373
50.36,-74.46,-6.243
50.36,-74.46,-7.021
50.36,-74.46,-5.029
50.36,-74.46,-6.323
50.36,-74.46,-6.33
50.36,-74.46,-4.904
50.36,-74.46,-6.157
50.36,-74.46,-5.706
50.36,-74.46,-4.747
50.36,-74.46,-5.003
50.36,-74.46,-5.523
50.36,-74.46,-6.549
50.36,-74.46,-4.463
50.36,-74.46,-7.465
50.36,-74.46,-6.179
50.36,-74.46,-6.264
50.36,-74.46,-5.68
50.36,-74.46,-5.906
50.36,-74.46,-6.299
50.36,-74.46,-6.856
50.36,-74.46,-6.879
50.36,-74.46,-6.309
50.36,-74.46,-5.568
50.36,-74.46,-5.876
50.36,-74.46,-5.357
50.36,-74.46,-5.083
50.36,-74.46,-4.753
50.36,-74.46,-6.613
50.36,-74.46,-5.346
50.36,-74.46,-6.386
50.36,-74.46,-6.256
50.36,-74.46,-7.034
50.36,-74.46,-5.041
50.36,-74.46,-6.336
50.36,-74.46,-6.343
50.36,-74.46,-4.917
50.36,-74.46,-6.17
50.36,-74.46,-5.719
50.36,-74.46,-4.76
50.36,-74.46,-5.016
50.36,-74.46,-5.536
50.36,-74.46,-6.562
50.36,-74.46,-4.476
50.36,-74.46,-7.478
50.36,-74.46,-6.192
50.36,-74.46,-6.277
50.36,-74.46,-5.693
50.36,-74.46,-5.919
50.36,-74.46,-6.312
50.36,-74.46,-6.869
50.36,-74.46,-6.892
50.36,-74.46,-6.322
