Latitude,Longitude,TMax 
50.36,-74.69,-7.341
50.36,-74.69,-7.77
50.36,-74.69,-9.119
50.36,-74.69,-8.642
50.36,-74.69,-7.413
50.36,-74.69,-6.922
50.36,-74.69,-7.284
50.36,-74.69,-9.152
50.36,-74.69,-7.796
50.36,-74.69,-7.322
50.36,-74.69,-8.144
50.36,-74.69,-7.068
50.36,-74.69,-8.377
50.36,-74.69,-8.715
50.36,-74.69,-7.928
50.36,-74.69,-7.775
50.36,-74.69,-6.531
50.36,-74.69,-7.767
50.36,-74.69,-7.995
50.36,-74.69,-9.238
50.36,-74.69,-7.786
50.36,-74.69,-7.361
50.36,-74.69,-9.272
50.36,-74.69,-9.451
50.36,-74.69,-8.777
50.36,-74.69,-7.318
50.36,-74.69,-8.326
50.36,-74.69,-7.095
50.36,-74.69,-6.635
50.36,-74.69,-7.974
50.36,-74.69,-7.324
50.36,-74.69,-7.753
50.36,-74.69,-9.102
50.36,-74.69,-8.625
50.36,-74.69,-7.396
50.36,-74.69,-6.905
50.36,-74.69,-7.267
50.36,-74.69,-9.136
50.36,-74.69,-7.779
50.36,-74.69,-7.305
50.36,-74.69,-8.128
50.36,-74.69,-7.051
50.36,-74.69,-8.36
50.36,-74.69,-8.563
50.36,-74.69,-7.776
50.36,-74.69,-7.623
50.36,-74.69,-6.379
50.36,-74.69,-7.615
50.36,-74.69,-7.842
50.36,-74.69,-9.086
50.36,-74.69,-7.633
50.36,-74.69,-7.208
50.36,-74.69,-9.12
50.36,-74.69,-9.298
50.36,-74.69,-8.623
50.36,-74.69,-7.166
50.36,-74.69,-8.173
50.36,-74.69,-6.943
50.36,-74.69,-6.483
50.36,-74.69,-7.822
50.36,-74.69,-7.173
50.36,-74.69,-7.598
50.36,-74.69,-8.949
50.36,-74.69,-8.474
50.36,-74.69,-7.245
50.36,-74.69,-6.751
50.36,-74.69,-7.115
50.36,-74.69,-8.982
50.36,-74.69,-7.627
50.36,-74.69,-7.153
50.36,-74.69,-7.975
50.36,-74.69,-6.899
50.36,-74.69,-8.206
50.35,-74.67,-8.721
50.35,-74.67,-7.934
50.35,-74.67,-7.78
50.35,-74.67,-6.536
50.35,-74.67,-7.772
50.35,-74.67,-8
50.35,-74.67,-9.243
50.35,-74.67,-7.791
50.35,-74.67,-7.366
50.35,-74.67,-9.277
50.35,-74.67,-9.456
50.35,-74.67,-8.782
50.35,-74.67,-7.324
50.35,-74.67,-8.332
50.35,-74.67,-7.1
50.35,-74.67,-6.64
50.35,-74.67,-7.979
50.35,-74.67,-7.329
50.35,-74.67,-7.759
50.35,-74.67,-9.108
50.35,-74.67,-8.63
50.35,-74.67,-7.401
50.35,-74.67,-6.911
50.35,-74.67,-7.272
50.35,-74.67,-9.141
50.35,-74.67,-7.784
50.35,-74.67,-7.311
50.35,-74.67,-8.133
50.35,-74.67,-7.056
50.35,-74.67,-8.366
50.35,-74.67,-8.722
50.35,-74.67,-7.935
50.35,-74.67,-7.782
50.35,-74.67,-6.538
50.35,-74.67,-7.774
50.35,-74.67,-8.002
50.35,-74.67,-9.245
50.35,-74.67,-7.793
50.35,-74.67,-7.368
50.35,-74.67,-9.278
