Latitude,Longitude,DC
50.35,-74.68,92.41948
50.35,-74.68,74.84324
50.35,-74.68,82.7011
50.35,-74.68,86.67005
50.35,-74.68,83.30773
50.35,-74.68,90.3491
50.35,-74.68,78.57304
50.35,-74.68,86.17625
50.35,-74.68,77.22619
50.35,-74.68,92.47684
50.35,-74.68,74.26812
50.36,-74.69,84.97904
50.36,-74.69,89.26832
50.36,-74.69,85.00855
50.36,-74.69,74.37826
50.36,-74.69,83.5098
50.36,-74.69,77.90274
50.36,-74.69,79.02553
50.36,-74.69,89.01341
50.36,-74.69,78.99916
50.36,-74.69,83.725
50.36,-74.69,79.95813
50.36,-74.69,86.6376
50.36,-74.69,93.28967
50.36,-74.69,82.6635
50.36,-74.69,79.6147
50.36,-74.69,86.43392
50.36,-74.69,85.2082
50.36,-74.69,89.53438
50.36,-74.69,76.53299
50.36,-74.69,92.44819
50.36,-74.69,74.88053
50.36,-74.69,83.22656
50.36,-74.69,86.67289
50.36,-74.69,83.55942
50.36,-74.69,90.34328
50.36,-74.69,78.57627
50.36,-74.69,86.20094
50.36,-74.69,77.25691
50.36,-74.69,92.48941
50.36,-74.69,74.28797
50.36,-74.69,84.89714
50.36,-74.69,89.47981
50.36,-74.69,85.23564
50.36,-74.69,74.60859
50.36,-74.69,83.17391
50.36,-74.69,77.80972
50.36,-74.69,79.42417
50.36,-74.69,89.00031
50.36,-74.69,79.07608
50.36,-74.69,83.51308
50.36,-74.69,80.21019
50.36,-74.69,86.78588
50.36,-74.69,93.60601
50.36,-74.69,82.8865
50.36,-74.69,79.77138
50.36,-74.69,86.81407
50.36,-74.69,85.47052
50.36,-74.69,89.81723
50.36,-74.69,76.61711
50.36,-74.69,92.82643
50.36,-74.69,75.05387
50.36,-74.69,82.84006
50.36,-74.69,86.94082
50.36,-74.69,83.59576
50.36,-74.69,90.58602
50.36,-74.69,78.87894
50.36,-74.69,86.44969
50.36,-74.69,77.37893
50.36,-74.69,92.75778
50.36,-74.69,74.52338
50.36,-74.69,85.22075
50.36,-74.69,89.90825
50.36,-74.69,86.20161
50.36,-74.69,75.7185
50.36,-74.69,83.97204
50.36,-74.69,79.76031
50.36,-74.69,79.69664
50.36,-74.69,89.82057
50.36,-74.69,80.69591
50.36,-74.69,83.53955
50.36,-74.69,82.96574
50.36,-74.69,86.62231
50.36,-74.69,94.40209
50.36,-74.69,83.91442
50.36,-74.69,81.06487
50.36,-74.69,87.46327
50.36,-74.69,86.99274
50.36,-74.69,90.42113
50.36,-74.69,77.77321
50.36,-74.69,93.7635
50.36,-74.69,76.26123
50.36,-74.69,83.3569
50.36,-74.69,87.90998
50.36,-74.69,85.23436
50.36,-74.69,90.01251
50.36,-74.69,79.89066
50.36,-74.69,88.45195
50.36,-74.69,78.56236
50.36,-74.69,93.74381
50.36,-74.69,76.14388
50.35,-74.67,84.67814
50.35,-74.67,89.26788
50.35,-74.67,85.04146
50.35,-74.67,74.34607
50.35,-74.67,83.23781
50.35,-74.67,77.92862
50.35,-74.67,79.19497
50.35,-74.67,89.25303
50.35,-74.67,78.96592
50.35,-74.67,83.68801
50.35,-74.67,80.0071
50.35,-74.67,86.66631
50.35,-74.67,93.33033
50.35,-74.67,82.69565
50.35,-74.67,79.62669
50.35,-74.67,86.4608
50.35,-74.67,85.22873
50.35,-74.67,89.58076
50.35,-74.67,76.60386
50.35,-74.67,92.46673
50.35,-74.67,74.88049
50.35,-74.67,82.74326
50.35,-74.67,86.70393
50.35,-74.67,83.37636
50.35,-74.67,90.36712
50.35,-74.67,78.61249
50.35,-74.67,86.14417
50.35,-74.67,77.25852
50.35,-74.67,92.52341
50.35,-74.67,74.29712
50.35,-74.67,84.97212
50.35,-74.67,89.25713
50.35,-74.67,85.01465
50.35,-74.67,74.32046
50.35,-74.67,83.52264
50.35,-74.67,77.90544
50.35,-74.67,79.1132
50.35,-74.67,89.22682
50.35,-74.67,78.94046
50.35,-74.67,83.66167
50.35,-74.67,79.98603
50.35,-74.67,86.63806
50.35,-74.67,93.29823
50.35,-74.67,82.64902
50.35,-74.67,79.59928
50.35,-74.67,86.43111
50.35,-74.67,85.19171
50.35,-74.67,89.58234
50.35,-74.67,76.55854
50.35,-74.67,92.43788
50.35,-74.67,74.82582
50.35,-74.67,82.69544
50.35,-74.67,86.68731
50.35,-74.67,83.31439
50.35,-74.67,90.33966
50.35,-74.67,78.58649
50.35,-74.67,86.19222
50.35,-74.67,77.24791
50.35,-74.67,92.49393
50.35,-74.67,74.28115
50.34,-74.67,84.70328
50.34,-74.67,89.42565
50.34,-74.67,85.09213
