Latitude,Longitude,DC
50.35,-74.68,95.13783
50.35,-74.68,91.82391
50.35,-74.68,74.05048
50.35,-74.68,87.7116
50.35,-74.68,85.3477
50.35,-74.68,94.72623
50.35,-74.68,87.80005
50.35,-74.68,82.27023
50.35,-74.68,83.28118
50.35,-74.68,86.83151
50.35,-74.68,80.05748
50.36,-74.69,76.77747
50.36,-74.69,85.34371
50.36,-74.69,94.40107
50.36,-74.69,82.80407
50.36,-74.69,77.50105
50.36,-74.69,86.53084
50.36,-74.69,86.93294
50.36,-74.69,86.28045
50.36,-74.69,90.89484
50.36,-74.69,87.547
50.36,-74.69,86.99734
50.36,-74.69,85.21062
50.36,-74.69,76.46926
50.36,-74.69,87.28584
50.36,-74.69,99.53589
50.36,-74.69,81.31261
50.36,-74.69,81.21535
50.36,-74.69,87.8601
50.36,-74.69,90.86217
50.36,-74.69,95.11097
50.36,-74.69,91.70416
50.36,-74.69,73.99454
50.36,-74.69,87.71724
50.36,-74.69,85.29829
50.36,-74.69,94.65695
50.36,-74.69,87.75866
50.36,-74.69,82.1408
50.36,-74.69,83.31134
50.36,-74.69,86.78561
50.36,-74.69,80.3243
50.36,-74.69,76.21901
50.36,-74.69,85.50795
50.36,-74.69,94.25418
50.36,-74.69,83.12718
50.36,-74.69,77.36242
50.36,-74.69,86.76109
50.36,-74.69,87.06035
50.36,-74.69,86.51716
50.36,-74.69,91.29384
50.36,-74.69,87.32216
50.36,-74.69,86.85377
50.36,-74.69,85.35841
50.36,-74.69,76.52569
50.36,-74.69,87.11141
50.36,-74.69,99.75252
50.36,-74.69,81.40249
50.36,-74.69,81.36654
50.36,-74.69,88.00078
50.36,-74.69,90.51147
50.36,-74.69,95.35088
50.36,-74.69,92.09928
50.36,-74.69,74.26415
50.36,-74.69,87.93756
50.36,-74.69,85.52179
50.36,-74.69,94.97784
50.36,-74.69,88.10275
50.36,-74.69,82.51828
50.36,-74.69,83.4422
50.36,-74.69,86.83549
50.36,-74.69,79.35632
50.36,-74.69,77.27261
50.36,-74.69,86.22681
50.36,-74.69,94.66761
50.36,-74.69,85.44945
50.36,-74.69,78.70487
50.36,-74.69,88.58168
50.36,-74.69,88.87345
50.36,-74.69,87.71806
50.36,-74.69,93.47577
50.36,-74.69,88.31827
50.36,-74.69,86.14609
50.36,-74.69,85.09042
50.36,-74.69,77.80687
50.36,-74.69,88.02691
50.36,-74.69,100.57092
50.36,-74.69,82.45911
50.36,-74.69,82.64043
50.36,-74.69,89.85885
50.36,-74.69,90.13877
50.36,-74.69,97.11106
50.36,-74.69,93.41894
50.36,-74.69,75.5593
50.36,-74.69,89.69381
50.36,-74.69,87.70588
50.36,-74.69,94.55977
50.36,-74.69,89.80395
50.36,-74.69,82.54692
50.36,-74.69,84.29289
50.36,-74.69,88.77693
50.36,-74.69,80.74311
50.35,-74.67,76.73497
50.35,-74.67,85.44675
50.35,-74.67,94.05502
50.35,-74.67,82.93687
50.35,-74.67,77.55631
50.35,-74.67,86.54481
50.35,-74.67,87.00546
50.35,-74.67,86.26179
50.35,-74.67,90.96053
50.35,-74.67,87.61434
50.35,-74.67,87.08329
50.35,-74.67,85.18531
50.35,-74.67,76.49542
50.35,-74.67,87.42094
50.35,-74.67,99.50907
50.35,-74.67,81.40341
50.35,-74.67,81.19484
50.35,-74.67,87.8655
50.35,-74.67,90.44163
50.35,-74.67,95.17396
50.35,-74.67,91.8568
50.35,-74.67,74.04623
50.35,-74.67,87.73997
50.35,-74.67,85.40162
