Latitude,Longitude,DC
50.35,-74.68,86.74458
50.35,-74.68,81.97365
50.35,-74.68,83.6952
50.35,-74.68,77.1478
50.35,-74.68,93.64405
50.35,-74.68,87.66491
50.35,-74.68,83.52605
50.35,-74.68,85.42908
50.35,-74.68,80.2282
50.35,-74.68,86.01327
50.35,-74.68,83.56813
50.36,-74.69,68.21057
50.36,-74.69,77.00132
50.36,-74.69,83.79697
50.36,-74.69,72.97776
50.36,-74.69,79.35612
50.36,-74.69,81.62466
50.36,-74.69,86.84608
50.36,-74.69,75.51903
50.36,-74.69,75.81168
50.36,-74.69,78.9414
50.36,-74.69,91.29305
50.36,-74.69,88.70612
50.36,-74.69,82.97092
50.36,-74.69,86.61641
50.36,-74.69,77.38295
50.36,-74.69,92.47412
50.36,-74.69,81.57978
50.36,-74.69,93.39482
50.36,-74.69,81.97285
50.36,-74.69,86.67649
50.36,-74.69,81.89296
50.36,-74.69,83.64938
50.36,-74.69,77.13643
50.36,-74.69,93.572
50.36,-74.69,87.73121
50.36,-74.69,83.47254
50.36,-74.69,85.39358
50.36,-74.69,80.21511
50.36,-74.69,86.05848
50.36,-74.69,83.31716
50.36,-74.69,68.3917
50.36,-74.69,77.13396
50.36,-74.69,83.91084
50.36,-74.69,72.9994
50.36,-74.69,79.59026
50.36,-74.69,81.83285
50.36,-74.69,86.82069
50.36,-74.69,75.30602
50.36,-74.69,75.92062
50.36,-74.69,78.86461
50.36,-74.69,91.2341
50.36,-74.69,88.82193
50.36,-74.69,83.14082
50.36,-74.69,86.93255
50.36,-74.69,77.39972
50.36,-74.69,92.64258
50.36,-74.69,81.07405
50.36,-74.69,93.62147
50.36,-74.69,82.20113
50.36,-74.69,86.8769
50.36,-74.69,82.0553
50.36,-74.69,83.77101
50.36,-74.69,77.28481
50.36,-74.69,93.99036
50.36,-74.69,88.0211
50.36,-74.69,83.64835
50.36,-74.69,85.57866
50.36,-74.69,79.80378
50.36,-74.69,86.18329
50.36,-74.69,83.69614
50.36,-74.69,68.73748
50.36,-74.69,77.531
50.36,-74.69,83.62943
50.36,-74.69,75.05273
50.36,-74.69,80.78154
50.36,-74.69,82.30379
50.36,-74.69,87.53007
50.36,-74.69,75.26308
50.36,-74.69,77.49363
50.36,-74.69,79.06254
50.36,-74.69,92.03996
50.36,-74.69,89.0811
50.36,-74.69,83.85654
50.36,-74.69,87.11077
50.36,-74.69,78.16484
50.36,-74.69,93.74287
50.36,-74.69,82.9286
50.36,-74.69,94.55597
50.36,-74.69,82.58103
50.36,-74.69,85.74599
50.36,-74.69,83.07601
50.36,-74.69,84.30247
50.36,-74.69,77.16985
50.36,-74.69,95.31246
50.36,-74.69,87.57934
50.36,-74.69,83.43205
50.36,-74.69,85.83105
50.36,-74.69,80.881
50.36,-74.69,86.84171
50.36,-74.69,84.61183
50.35,-74.67,68.25894
